passer_player_id,passer_player_name,dropbacks,dropbacks_latest,epa_per_db,cpoe,sack_rate,teams,primary_team,epa_shrunk,value_pts,league_epa_per_db
00-0040743,T.Shough,356.0,356,-0.0207,1.6082,0.0871,NO,NO,-0.0328,-1.1806,0.0
00-0039917,M.Penix,344.5,290,0.0067,-3.8478,0.0426,ATL,ATL,-0.0171,-0.6173,0.0
00-0029263,R.Wilson,329.5,129,-0.0734,3.473,0.0887,"NYG,PIT",NYG,-0.0633,-2.2783,0.0
00-0036945,J.Fields,322.0,233,-0.0874,-0.1494,0.1046,"NYJ,PIT",NYJ,-0.071,-2.5572,0.0
00-0039923,J.McCarthy,273.0,273,-0.2256,-5.7239,0.0989,MIN,MIN,-0.1417,-5.1,0.0
00-0032268,M.Mariota,267.5,244,0.0005,5.4291,0.0653,WAS,WAS,-0.0239,-0.8599,0.0
00-0040668,S.Sanders,235.0,235,-0.2798,-4.9996,0.0979,CLE,CLE,-0.1613,-5.8078,0.0
00-0031503,J.Winston,232.0,69,-0.0237,-2.0123,0.0684,"CLE,NYG",NYG,-0.0373,-1.3437,0.0
00-0033662,C.Rush,213.5,53,-0.179,-7.182,0.0374,"BAL,DAL",BAL,-0.1094,-3.9389,0.0
00-0040704,D.Gabriel,204.0,204,-0.2472,-7.5071,0.0931,CLE,CLE,-0.1386,-4.99,0.0
00-0032950,C.Wentz,199.5,188,-0.0131,0.8678,0.109,"KC,MIN",MIN,-0.0336,-1.2101,0.0
00-0036898,D.Mills,188.0,169,-0.1316,-7.5921,0.0483,HOU,HOU,-0.085,-3.0615,0.0
00-0035289,G.Minshew,179.5,13,-0.2017,-0.2734,0.0838,"KC,LV",KC,-0.1134,-4.0821,0.0
00-0034771,M.Rudolph,173.5,55,-0.0177,1.3951,0.0445,"PIT,TEN",PIT,-0.0367,-1.3229,0.0
00-0040398,B.Cook,173.0,173,-0.4225,-10.0291,0.1098,NYJ,NYJ,-0.2023,-7.2841,0.0
00-0039152,W.Levis,172.0,0,-0.2301,-0.4323,0.1192,TEN,,-0.1234,-4.442,0.0
00-0028118,T.Taylor,159.5,147,-0.0763,1.1384,0.0814,NYJ,NYJ,-0.0603,-2.1693,0.0
00-0038579,A.O'Connell,150.0,23,-0.0685,-5.3114,0.0397,LV,LV,-0.0569,-2.0499,0.0
00-0035993,T.Huntley,148.5,74,-0.0636,6.4843,0.1031,"BAL,MIA",BAL,-0.0551,-1.9831,0.0
00-0031280,D.Carr,145.0,0,0.1244,3.2764,0.0276,NO,,0.014,0.5052,0.0
00-0039164,A.Richardson,140.5,2,-0.1873,-10.8375,0.0502,IND,IND,-0.0994,-3.579,0.0
00-0035100,J.Browning,134.0,134,-0.3139,0.3757,0.0672,CIN,CIN,-0.1421,-5.1151,0.0
00-0027973,A.Dalton,129.0,45,-0.153,0.3089,0.0704,CAR,CAR,-0.0851,-3.0627,0.0
00-0033537,D.Watson,125.0,0,-0.2858,-2.1934,0.132,CLE,,-0.1286,-4.6291,0.0
00-0035704,D.Lock,99.5,3,-0.2565,-6.236,0.0612,"NYG,SEA",SEA,-0.1088,-3.9162,0.0
00-0022942,P.Rivers,97.0,97,-0.1428,-3.6927,0.0515,IND,IND,-0.076,-2.7343,0.0
00-0040234,Q.Ewers,91.0,91,-0.0522,0.9923,0.0879,MIA,MIA,-0.0506,-1.8208,0.0
00-0040494,M.Brosmer,85.0,85,-0.6924,-3.5284,0.1647,MIN,MIN,-0.213,-7.668,0.0
00-0037012,T.Lance,81.5,59,-0.5532,-8.4823,0.0962,"DAL,LAC",LAC,-0.1737,-6.2535,0.0
00-0038102,K.Pickett,75.5,52,-0.4051,-4.0058,0.1212,"LV,PHI",LV,-0.1324,-4.7654,0.0
